OTU_ID	TMCA10	TMCA11	TMCA12	TMCA1	TMCA2	TMCA3	TMCA4	TMCA5	TMCA6	TMCA7	TMCA8	TMCA9	TMCB10	TMCB11	TMCB12	TMCB1	TMCB2	TMCB3	TMCB4	TMCB5	TMCB6	TMCB7	TMCB8	TMCB9	TMCC10	TMCC11	TMCC12	TMCC1	TMCC2	TMCC3	TMCC4	TMCC5	TMCC6	TMCC7	TMCC8	TMCC9	TMCD10	TMCD11	TMCD12	TMCD1	TMCD2	TMCD3	TMCD4	TMCD5	TMCD6	TMCD7	TMCD8	TMCD9	TMCE11	TMCE12	TMCE1	TMCE2	TMCE3	TMCE4	TMCE5	TMCE6	TMCE7	TMCE8	TMCF10	TMCF11	TMCF12	TMCF1	TMCF2	TMCF3	TMCF4	TMCF5	TMCF6	TMCF7	TMCF8	TMCF9	TMCG10	TMCG12	TMCG1	TMCG3	TMCG4	TMCG5	TMCG6	TMCG7	TMCG8	TMCG9	TMCH10	TMCH11	TMCH12	TMCH1	TMCH3	TMCH4	TMCH6	TMCH7	TMCH8	TMCH9	TMCI10	TMCI11	TMCI12	TMCI1	TMCI2	TMCI3	TMCI4	TMCI5	TMCI6	TMCI7	TMCI8	TMCI9	TMCJ10	TMCJ11	TMCJ12	TMCJ1	TMCJ2	TMCJ3	TMCJ4	TMCJ5	TMCJ6	TMCJ7	TMCJ8	TMCJ9	TMCK10	TMCK11	TMCK12	TMCK1	TMCK2	TMCK3	TMCK4	TMCK5	TMCK6	TMCK7	TMCK8	TMCK9	TMCL10	TMCL11	TMCL12	TMCL1	TMCL2	TMCL3	TMCL4	TMCL5	TMCL6	TMCL7	TMCL8	TMCL9
809286	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
1110303	12	6	13	5	5	8	4	9	5	15	7	7	32	20	18	12	13	19	27	8	15	6	17	6	17	7	12	14	6	10	12	5	3	15	24	13	18	9	23	6	12	4	8	6	6	10	16	3	7	13	14	13	0	3	24	1	4	6	14	23	23	13	9	6	6	2	3	1	10	13	9	6	4	18	8	3	4	20	12	18	13	13	11	12	10	4	4	7	9	6	16	26	8	11	17	4	10	27	8	30	3	16	29	22	26	6	1	3	13	6	25	9	24	4	40	35	37	1	7	11	7	7	3	4	4	13	21	11	12	3	10	9	10	18	9	8	2	1
216350	4	1	9	4	10	3	1	3	0	4	11	2	9	5	4	6	2	7	0	3	2	4	4	1	10	6	6	1	2	4	2	3	1	4	6	3	4	2	3	4	5	0	1	4	4	4	2	1	6	4	2	4	2	1	3	4	9	4	5	3	2	2	5	4	4	3	2	1	8	1	3	3	3	3	4	3	1	0	7	5	3	5	2	4	9	7	3	4	5	4	7	10	7	2	5	6	1	7	7	3	8	12	6	7	2	10	4	2	5	9	14	14	6	5	7	8	10	8	2	10	12	11	8	8	4	4	7	13	5	3	2	6	8	4	6	5	7	3
4472969	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
208424	0	0	8	2	0	1	4	1	2	3	0	1	4	2	3	8	1	5	2	3	1	0	2	2	5	1	2	2	4	4	2	0	1	2	3	2	1	5	2	2	6	2	0	0	2	1	1	0	2	1	2	0	0	1	5	3	1	4	4	2	3	4	2	1	0	0	1	1	2	0	1	1	1	1	1	1	3	8	1	2	6	1	0	1	0	2	1	1	4	2	8	0	7	0	7	1	1	1	3	3	0	0	2	1	3	2	2	0	2	2	3	2	0	0	4	5	4	1	2	0	0	1	0	0	0	6	1	3	5	6	0	1	0	2	9	2	0	2
152964	7	1	2	1	0	4	4	2	3	1	3	5	0	0	0	1	2	0	1	4	0	5	0	6	1	2	2	0	0	0	1	3	0	7	0	0	3	0	1	0	0	1	0	0	0	2	0	0	1	0	1	2	0	0	1	4	1	0	7	1	1	0	0	1	2	1	2	1	0	3	1	1	0	0	0	0	4	2	0	1	0	1	5	0	0	0	2	7	2	2	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	1	2	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	2	0	0	0	0	1	0	1	1	2	1
695617	4	3	1	0	2	4	0	0	1	1	1	2	5	2	0	1	7	1	2	5	2	2	4	0	1	5	0	1	1	2	0	1	1	2	4	3	3	1	0	4	5	6	1	3	1	3	3	0	1	5	6	4	0	5	6	1	0	6	0	3	0	2	1	1	0	2	0	3	3	0	1	0	2	0	0	4	2	0	2	1	1	3	1	3	4	2	1	5	4	3	0	1	3	2	0	0	2	1	0	2	1	0	0	5	2	7	1	3	1	1	13	2	0	0	2	0	2	0	2	0	0	0	1	2	4	5	1	0	2	0	1	4	0	5	1	11	0	0
4381827	3	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1033426	2	0	10	1	2	0	2	1	3	4	5	1	8	1	3	1	2	5	3	4	9	2	4	2	0	1	1	0	1	5	2	4	1	0	1	1	4	1	4	0	2	1	0	0	1	0	1	1	0	1	0	0	0	2	3	3	4	1	0	1	3	4	0	1	5	2	1	1	1	4	3	1	1	5	1	1	0	0	1	4	0	6	0	2	2	6	0	2	0	0	1	1	0	1	0	0	0	2	4	2	0	0	1	1	0	0	0	1	2	4	4	0	1	0	1	0	1	2	1	1	5	1	1	0	0	2	2	0	3	0	0	0	1	0	1	0	1	0
810595	11	7	6	22	12	4	1	6	0	6	11	11	13	14	12	3	8	1	0	0	4	6	6	14	18	20	10	9	7	2	7	4	2	7	10	6	13	11	6	3	3	7	2	3	4	7	7	12	10	10	5	4	5	0	2	0	4	6	8	15	8	8	6	9	0	4	0	15	7	1	13	9	2	14	6	10	16	3	11	6	14	11	14	10	4	1	1	7	13	6	2	3	13	2	6	0	2	0	0	4	0	2	6	6	7	4	12	1	1	0	1	5	1	7	9	6	5	1	1	0	0	3	0	0	0	6	10	2	6	3	0	2	3	3	1	5	4	7
