,Kingdom,Phylum,Class,Order,Family,Genus,Species 
OTU9,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Unclassified,Unclassified,Unclassified
OTU5,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU4,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Unclassified
OTU6,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Neostagonospora,Neostagonospora_spinificis_SH523839.07FU
OTU10,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma_terrea_SH190018.07FU
OTU2,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU1,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Unclassified,Unclassified,Unclassified
OTU8,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU7,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Gibberella,Gibberella_fujikuroi_SH631251.07FU
OTU3,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU17,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU12,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Unclassified,Unclassified
OTU11,Fungi,Basidiomycota,Tremellomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU18,Fungi,Basidiomycota,Tremellomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU14,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU15,Fungi,Ascomycota,Dothideomycetes,Dothideales,Unclassified,Unclassified,Unclassified
OTU16,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Unclassified,Unclassified
OTU13,Fungi,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,Phaeococcomyces_mexicanus_SH025621.07FU
OTU20,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU19,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU21,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,Unclassified
OTU23,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Unclassified,Unclassified,Unclassified
OTU22,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU24,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Unclassified,Unclassified
OTU25,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU26,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Unclassified,Unclassified,Unclassified
OTU27,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Unclassified
OTU29,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Unclassified,Unclassified,Unclassified
OTU28,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU30,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU31,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Unclassified,Unclassified
OTU32,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU33,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Unclassified
OTU34,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Unclassified
OTU35,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU38,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU37,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Unclassified,Unclassified,Unclassified
OTU40,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Phaeothecoidea,Phaeothecoidea_proteae_SH027337.07FU
OTU39,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Unclassified,Unclassified,Unclassified
OTU36,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Unclassified,Unclassified,Unclassified
OTU41,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma_terricola_SH190017.07FU
OTU42,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Unclassified,Unclassified,Unclassified
OTU44,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Unclassified,Unclassified
OTU43,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU45,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Unclassified,Unclassified
OTU48,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_terricola_SH434798.07FU
OTU47,Fungi,Basidiomycota,Cystobasidiomycetes,Cystobasidiomycetes_ord_Incertae_sedis,Cystobasidiomycetes_fam_Incertae_sedis,Symmetrospora,Unclassified
OTU49,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Stachybotrys,Stachybotrys_microspora_SH209073.07FU
OTU46,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU50,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU52,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Unclassified,Unclassified,Unclassified
OTU53,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU51,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU54,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU59,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma_longibrachiatum_SH206530.07FU
OTU55,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU57,Fungi,Ascomycota,Leotiomycetes,Helotiales,Unclassified,Unclassified,Unclassified
OTU56,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU58,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,Naganishia_randhawae_SH116217.07FU
OTU60,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU62,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU64,Fungi,Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU61,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Unclassified,Unclassified
OTU63,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Paraglomus_brasilianum_SH215636.07FU
OTU65,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,Cyphellophora_laciniata_SH197858.07FU
OTU67,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU68,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Unclassified,Unclassified
OTU66,Fungi,Ascomycota,Pezizomycetes,Pezizales,Unclassified,Unclassified,Unclassified
OTU69,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU70,Fungi,Basidiomycota,Agaricomycetes,Boletales,Unclassified,Unclassified,Unclassified
OTU71,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU73,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU72,Fungi,Basidiomycota,Tremellomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU74,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU77,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula_recondita_SH202441.07FU
OTU75,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU79,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Mycoleptodiscus,Mycoleptodiscus_terrestris_SH216144.07FU
OTU76,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU78,Fungi,Basidiomycota,Tremellomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU80,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Hymenoscyphus,Unclassified
OTU83,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU85,,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU81,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU82,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Unclassified,Unclassified
OTU84,Fungi,Basidiomycota,Agaricomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU86,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Humicola,Humicola_grisea_SH374010.07FU
OTU87,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU89,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chaetosphaeria,Chaetosphaeria_vermicularioides_SH181577.07FU
OTU88,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Unclassified,Unclassified
OTU90,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU91,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,Unclassified
OTU92,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Unclassified
OTU95,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU94,Fungi,Basidiomycota,Agaricomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU93,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU96,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU98,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU99,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Unclassified,Unclassified
OTU97,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Unclassified,Unclassified
OTU100,Fungi,Basidiomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU101,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,Unclassified
OTU102,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Unclassified,Unclassified,Unclassified
OTU105,Fungi,Ascomycota,Pezizomycetes,Pezizales,Unclassified,Unclassified,Unclassified
OTU103,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU104,Fungi,Basidiomycota,Tremellomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU106,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Unclassified
OTU107,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Unclassified,Unclassified
OTU108,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU110,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Unclassified
OTU109,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU111,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Unclassified,Unclassified
OTU112,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Unclassified,Unclassified,Unclassified
OTU113,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU117,,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU114,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida_sake_SH175136.07FU
OTU115,Fungi,Basidiomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU116,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU118,Fungi,Basidiomycota,Tremellomycetes,Holtermanniales,Holtermanniales_fam_Incertae_sedis,Holtermanniella,Holtermanniella_takashimae_SH526070.07FU
OTU119,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU120,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU121,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU122,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Unclassified
OTU125,Fungi,Ascomycota,Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU123,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Unclassified,Unclassified,Unclassified
OTU124,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Unclassified,Unclassified
OTU126,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Unclassified,Unclassified,Unclassified
OTU127,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Unclassified,Unclassified,Unclassified
OTU128,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU130,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU129,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Unclassified,Unclassified,Unclassified
OTU131,Fungi,Ascomycota,Sordariomycetes,Sordariales,Unclassified,Unclassified,Unclassified
OTU133,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Unclassified,Unclassified,Unclassified
OTU134,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,Unclassified
OTU137,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU132,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Unclassified,Unclassified
OTU135,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Unclassified,Unclassified,Unclassified
OTU136,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Unclassified
OTU138,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Unclassified,Unclassified
OTU139,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU140,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU141,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Unclassified
OTU143,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU146,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU145,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Unclassified,Unclassified,Unclassified
OTU144,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Unclassified,Unclassified
OTU147,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Unclassified,Unclassified
OTU142,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Unclassified,Unclassified
OTU148,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU150,Fungi,Rozellomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU149,Fungi,Basidiomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU151,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Unclassified,Unclassified,Unclassified
OTU152,Fungi,Rozellomycota,Rozellomycota_cls_Incertae_sedis,GS02,Unclassified,Unclassified,Unclassified
OTU154,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Unclassified,Unclassified
OTU156,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Unclassified
OTU153,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU155,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Unclassified,Unclassified,Unclassified
OTU158,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU157,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU159,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU160,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Isaria,Isaria_cateniannulata_SH176355.07FU
OTU161,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU162,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU165,Fungi,Ascomycota,Sordariomycetes,Xylariales,Apiosporaceae,Arthrinium,Unclassified
OTU163,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU167,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,Unclassified
OTU166,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Unclassified
OTU164,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Unclassified,Unclassified
OTU169,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU168,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Unclassified,Unclassified
OTU170,Fungi,Ascomycota,Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU171,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,Unclassified
OTU172,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Unclassified,Unclassified,Unclassified
OTU173,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Tubaria,Tubaria_minima_SH201596.07FU
OTU175,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellales_fam_Incertae_sedis,Minimedusa,Minimedusa_polyspora_SH201128.07FU
OTU176,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Unclassified,Unclassified
OTU174,Fungi,Ascomycota,Leotiomycetes,Helotiales,Unclassified,Unclassified,Unclassified
OTU177,Fungi,Ascomycota,Leotiomycetes,Helotiales,Unclassified,Unclassified,Unclassified
OTU178,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Unclassified,Unclassified,Unclassified
OTU180,Fungi,Ascomycota,Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU179,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,Naganishia_friedmannii_SH206550.07FU
OTU181,Fungi,Ascomycota,Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU182,Fungi,Ascomycota,Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU184,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU185,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Unclassified
OTU183,Fungi,Basidiomycota,Wallemiomycetes,Wallemiales,Wallemiales_fam_Incertae_sedis,Wallemia,Wallemia_muriae_SH216459.07FU
OTU186,Fungi,Basidiomycota,Tremellomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU187,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,Papiliotrema,Unclassified
OTU188,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU189,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Tetracladium,Unclassified
OTU190,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Unclassified,Unclassified
OTU191,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU192,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU194,Fungi,Ascomycota,Dothideomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU193,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,Unclassified
OTU195,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Dipodascaceae,Geotrichum,Geotrichum_europaeum_SH180673.07FU
OTU196,Fungi,Basidiomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU197,,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU198,Fungi,Chytridiomycota,Rhizophlyctidomycetes,Rhizophlyctidales,Rhizophlyctidaceae,Rhizophlyctis,Rhizophlyctis_rosea_SH202562.07FU
OTU200,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Unclassified,Unclassified,Unclassified
OTU199,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU201,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Unclassified,Unclassified,Unclassified
OTU202,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Unclassified,Unclassified,Unclassified
OTU203,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Unclassified,Unclassified,Unclassified
OTU204,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Hyphodontia,Unclassified
OTU205,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Unclassified
OTU207,Fungi,Basidiomycota,Agaricomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU206,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Unclassified,Unclassified
OTU208,Fungi,Glomeromycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU210,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,Naganishia_diffluens_SH116191.07FU
OTU209,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU211,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Unclassified
OTU212,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Unclassified,Unclassified
OTU213,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Unclassified
OTU214,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU215,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU216,Fungi,Ascomycota,Leotiomycetes,Helotiales,Unclassified,Unclassified,Unclassified
OTU217,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,Unclassified
OTU218,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Latorua,Latorua_caligans_SH212864.07FU
OTU219,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Toxicocladosporium,Toxicocladosporium_pseudoveloxum_SH111102.07FU
OTU220,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Unclassified,Unclassified,Unclassified
OTU221,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Unclassified,Unclassified
OTU222,Fungi,Ascomycota,Sordariomycetes,Branch06,Unclassified,Unclassified,Unclassified
OTU224,Fungi,Kickxellomycota,Kickxellomycetes,Kickxellales,Kickxellaceae,Ramicandelaber,Unclassified
OTU223,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU227,Fungi,Basidiomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU225,Fungi,Ascomycota,Sordariomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU226,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU228,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU230,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetaceae,Spizellomyces,Unclassified
OTU231,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cladorrhinum,Unclassified
OTU229,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliales_fam_Incertae_sedis,Vermispora,Vermispora_fusarina_SH178796.07FU
OTU232,,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU233,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Unclassified,Unclassified,Unclassified
OTU234,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Unclassified
OTU235,Fungi,Ascomycota,Sordariomycetes,Myrmecridiales,Myrmecridiaceae,Myrmecridium,Unclassified
OTU236,Fungi,Basidiomycota,Tremellomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU237,Fungi,Ascomycota,Orbiliomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU238,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU239,Fungi,Basidiomycota,Agaricomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU240,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiales_fam_Incertae_sedis,Operculomyces,Operculomyces_laminatus_SH210135.07FU
OTU242,Fungi,Ascomycota,Leotiomycetes,Helotiales,Unclassified,Unclassified,Unclassified
OTU241,Fungi,Basidiomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU243,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Unclassified
OTU245,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Unclassified,Unclassified,Unclassified
OTU246,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU247,Fungi,Ascomycota,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU244,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Unclassified,Unclassified,Unclassified
OTU248,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Unclassified,Unclassified
OTU250,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU249,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Unclassified,Unclassified,Unclassified
OTU251,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU253,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,Unclassified
OTU254,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Unclassified,Unclassified
OTU252,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
OTU255,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Unclassified,Unclassified
OTU256,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Unclassified,Unclassified
OTU257,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Unclassified
OTU259,Fungi,Ascomycota,Dothideomycetes,Unclassified,Unclassified,Unclassified,Unclassified
OTU258,Fungi,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
